mapping,seed,method,train_stage,train_checkpoint,eval_task_stage,eval_task_checkpoint,reward
threshold,11,replay,4,75,2,25,-295.2607424259186
threshold,11,replay,4,75,3,50,-320.07128340005875
threshold,11,replay,4,75,4,75,-365.4599006175995
threshold,11,replay,5,100,1,1,-303.5517649650574
threshold,11,replay,5,100,2,25,-295.2607424259186
threshold,11,replay,5,100,3,50,-308.88759547472
threshold,11,replay,5,100,4,75,-365.4599006175995
threshold,11,replay,5,100,5,100,-297.2209779024124
threshold,11,replay,6,125,1,1,-160.7831442952156
threshold,11,replay,6,125,2,25,-295.2607424259186
threshold,11,replay,6,125,3,50,-278.2559671998024
threshold,11,replay,6,125,4,75,-359.0627374649048
threshold,11,replay,6,125,5,100,-272.4309743642807
threshold,11,replay,6,125,6,125,-116.96378773450851
threshold,11,reactive,1,1,1,1,-512.2088867704073
threshold,11,reactive,2,25,1,1,-512.2088867704073
threshold,11,reactive,2,25,2,25,-421.0449046611784
threshold,11,reactive,3,50,1,1,-512.2088867704073
threshold,11,reactive,3,50,2,25,-421.0449046611784
threshold,11,reactive,3,50,3,50,-545.1814626355963
threshold,11,reactive,4,75,1,1,-512.2088867704073
threshold,11,reactive,4,75,2,25,-421.0449046611784
threshold,11,reactive,4,75,3,50,-545.1814626355963
threshold,11,reactive,4,75,4,75,-463.5113219380379
threshold,11,reactive,5,100,1,1,-512.2088867704073
threshold,11,reactive,5,100,2,25,-421.0449046611784
threshold,11,reactive,5,100,3,50,-545.1814626355963
threshold,11,reactive,5,100,4,75,-463.5113219380379
threshold,11,reactive,5,100,5,100,-471.68865617116285
threshold,11,reactive,6,125,1,1,-512.2088867704073
threshold,11,reactive,6,125,2,25,-421.0449046611784
threshold,11,reactive,6,125,3,50,-545.1814626355963
threshold,11,reactive,6,125,4,75,-463.5113219380379
threshold,11,reactive,6,125,5,100,-471.68865617116285
threshold,11,reactive,6,125,6,125,-301.14272646903976
