step,checkpoint,checkpoint_step,boundary_gap_filled,raw_demand,demand,capacity,task_count,capacity_per_task,slo_violation,reactive_task_count,reactive_capacity
210,50,69,False,2.265730142593384,2.265730142593384,4.0,4,1.0,False,5,5.0
211,50,70,False,2.2618820667266846,2.2618820667266846,4.0,4,1.0,False,5,5.0
212,75,0,False,0.6105185747146606,0.6105185747146606,3.0,3,1.0,False,5,5.0
213,75,1,False,0.615973174571991,0.615973174571991,3.0,3,1.0,False,5,5.0
214,75,2,False,0.8006133437156677,0.8006133437156677,2.0,2,1.0,False,5,5.0
215,75,3,False,0.6383545398712158,0.6383545398712158,2.0,2,1.0,False,5,5.0
216,75,4,False,0.6270499229431152,0.6270499229431152,1.0,1,1.0,False,5,5.0
217,75,5,False,0.6202992796897888,0.6202992796897888,1.0,1,1.0,False,4,4.0
218,75,6,False,0.6490912437438965,0.6490912437438965,1.0,1,1.0,False,4,4.0
219,75,7,False,0.607093095779419,0.607093095779419,1.0,1,1.0,False,4,4.0
220,75,8,False,1.1280275583267212,1.1280275583267212,2.0,2,1.0,False,4,4.0
221,75,9,False,1.1486092805862427,1.1486092805862427,2.0,2,1.0,False,4,4.0
222,75,10,False,0.9677726626396179,0.9677726626396179,2.0,2,1.0,False,4,4.0
223,75,11,False,1.0227872133255005,1.0227872133255005,2.0,2,1.0,False,3,3.0
224,75,12,False,1.135503888130188,1.135503888130188,2.0,2,1.0,False,3,3.0
225,75,13,False,0.8466144800186157,0.8466144800186157,2.0,2,1.0,False,3,3.0
226,75,14,False,1.0840877294540405,1.0840877294540405,2.0,2,1.0,False,3,3.0
227,75,15,False,0.8224645853042603,0.8224645853042603,2.0,2,1.0,False,3,3.0
228,75,16,False,0.7790185213088989,0.7790185213088989,2.0,2,1.0,False,3,3.0
229,75,17,False,0.6493279933929443,0.6493279933929443,2.0,2,1.0,False,3,3.0
230,75,18,False,0.7443788051605225,0.7443788051605225,2.0,2,1.0,False,3,3.0
231,75,19,False,0.6516008377075195,0.6516008377075195,2.0,2,1.0,False,3,3.0
232,75,20,False,0.7171070575714111,0.7171070575714111,2.0,2,1.0,False,2,2.0
233,75,21,False,0.7474413514137268,0.7474413514137268,2.0,2,1.0,False,2,2.0
234,75,22,False,0.7772071361541748,0.7772071361541748,2.0,2,1.0,False,2,2.0
235,75,23,False,0.7876300811767578,0.7876300811767578,2.0,2,1.0,False,2,2.0
236,75,24,False,1.1395304203033447,1.1395304203033447,2.0,2,1.0,False,2,2.0
237,75,25,False,1.0697046518325806,1.0697046518325806,2.0,2,1.0,False,2,2.0
238,75,26,False,0.9988702535629272,0.9988702535629272,2.0,2,1.0,False,2,2.0
